country,country_code_m49,year,month,temp_change_c
Antigua and Barbuda,028,2022,2,0.768
Antigua and Barbuda,028,2023,2,0.44
Antigua and Barbuda,028,2024,2,1.417
Antigua and Barbuda,028,2025,2,1.519
Antigua and Barbuda,028,2020,3,0.406
Antigua and Barbuda,028,2021,3,0.853
Antigua and Barbuda,028,2022,3,0.932
Antigua and Barbuda,028,2023,3,0.633
Antigua and Barbuda,028,2024,3,1.564
Antigua and Barbuda,028,2025,3,1.486
Antigua and Barbuda,028,2020,4,1.361
Antigua and Barbuda,028,2021,4,0.731
Antigua and Barbuda,028,2022,4,0.539
Antigua and Barbuda,028,2023,4,0.647
Antigua and Barbuda,028,2024,4,1.551
Antigua and Barbuda,028,2025,4,0.819
Antigua and Barbuda,028,2020,5,1.58
Antigua and Barbuda,028,2021,5,0.817
Antigua and Barbuda,028,2022,5,0.686
Antigua and Barbuda,028,2023,5,1.075
Antigua and Barbuda,028,2024,5,1.831
Antigua and Barbuda,028,2025,5,1.034
Antigua and Barbuda,028,2020,6,1.273
Antigua and Barbuda,028,2021,6,0.407
Antigua and Barbuda,028,2022,6,0.734
Antigua and Barbuda,028,2023,6,1.309
Antigua and Barbuda,028,2024,6,1.671
Antigua and Barbuda,028,2025,6,0.632
Antigua and Barbuda,028,2020,7,0.977
Antigua and Barbuda,028,2021,7,0.775
Antigua and Barbuda,028,2022,7,0.477
Antigua and Barbuda,028,2023,7,1.474
Antigua and Barbuda,028,2024,7,1.335
Antigua and Barbuda,028,2025,7,0.785
Antigua and Barbuda,028,2020,8,1.343
Antigua and Barbuda,028,2021,8,1.01
Antigua and Barbuda,028,2022,8,0.751
Antigua and Barbuda,028,2023,8,1.6
Antigua and Barbuda,028,2024,8,1.391
Antigua and Barbuda,028,2025,8,1.456
Antigua and Barbuda,028,2020,9,1.121
Antigua and Barbuda,028,2021,9,0.997
Antigua and Barbuda,028,2022,9,0.596
Antigua and Barbuda,028,2023,9,1.982
Antigua and Barbuda,028,2025,9,1.29
Antigua and Barbuda,028,2020,10,0.619
Antigua and Barbuda,028,2021,10,0.96
Antigua and Barbuda,028,2022,10,0.699
Antigua and Barbuda,028,2023,10,1.355
Antigua and Barbuda,028,2024,10,1.879
Antigua and Barbuda,028,2025,10,1.269
Antigua and Barbuda,028,2020,11,0.575
Antigua and Barbuda,028,2021,11,0.769
Antigua and Barbuda,028,2022,11,0.603
Antigua and Barbuda,028,2023,11,1.544
Antigua and Barbuda,028,2024,11,1.495
Antigua and Barbuda,028,2025,11,0.781
Antigua and Barbuda,028,2020,12,0.782
Antigua and Barbuda,028,2021,12,1.28
Antigua and Barbuda,028,2022,12,0.547
Antigua and Barbuda,028,2023,12,1.005
Antigua and Barbuda,028,2024,12,1.641
Antigua and Barbuda,028,2025,12,0.841
Argentina,032,2020,1,1.045
Argentina,032,2021,1,0.161
Argentina,032,2022,1,1.832
Argentina,032,2023,1,1.929
Argentina,032,2024,1,1.594
Argentina,032,2025,1,1.843
Argentina,032,2020,2,0.442
Argentina,032,2021,2,0.331
Argentina,032,2022,2,0.512
Argentina,032,2023,2,1.232
Argentina,032,2024,2,2.455
Argentina,032,2025,2,2.665
Argentina,032,2020,3,2.686
Argentina,032,2021,3,0.788
Argentina,032,2022,3,-0.376
Argentina,032,2023,3,2.689
Argentina,032,2024,3,2.074
Argentina,032,2025,3,1.046
